,season,round,driver,time,status,url,driver_points_cumulative,driver_points_percent_max
49,1950,3,bettenhausen,,+2 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
50,1950,3,wallard,,+2 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
51,1950,3,faulkner,,+3 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
52,1950,3,george_connor,,+3 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
53,1950,3,paul_russo,,+3 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
54,1950,3,flaherty,,+3 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
55,1950,3,fohr,,+5 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
56,1950,3,darter,,+5 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
57,1950,3,hellings,,+6 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
58,1950,3,mcgrath,,Spun off,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
59,1950,3,ruttman,,+8 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
60,1950,3,hartley,,+10 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
61,1950,3,davies,,+10 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
62,1950,3,mcdowell,,+10 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
63,1950,3,walt_brown,,+11 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
64,1950,3,webb,,+12 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
65,1950,3,hoyt,,+13 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
66,1950,3,ader,,+15 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
67,1950,3,holmes,,Spun off,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
68,1950,3,rathmann,,+16 Laps,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
69,1950,3,banks,,Oil line,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
70,1950,3,schindler,,Transmission,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
71,1950,3,levrett,,Oil pressure,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
72,1950,3,cantrell,,Oil pressure,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
73,1950,3,agabashian,,Oil leak,http://en.wikipedia.org/wiki/1950_Indianapolis_500,0.0,
74,1950,4,farina,7373700.0,Finished,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,9.0,
75,1950,4,fagioli,7374100.0,Finished,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,6.0,
76,1950,4,rosier,,+1 Lap,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,2.0,
77,1950,4,bira,,+2 Laps,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,2.0,
78,1950,4,bonetto,,+2 Laps,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,0.0,
79,1950,4,graffenried,,+2 Laps,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,0.0,
80,1950,4,pagani,,+3 Laps,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,0.0,
81,1950,4,schell,,+3 Laps,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,0.0,
82,1950,4,chiron,,+3 Laps,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,4.0,
83,1950,4,claes,,+4 Laps,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,0.0,
84,1950,4,branca,,+7 Laps,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,0.0,
85,1950,4,fangio,,Engine,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,9.0,
86,1950,4,etancelin,,Gearbox,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,0.0,
87,1950,4,martin,,Accident,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,0.0,
88,1950,4,sommer,,Suspension,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,3.0,
89,1950,4,villoresi,,Engine,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,0.0,
90,1950,4,ascari,,Oil pump,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,6.0,
91,1950,4,cabantous,,Accident,http://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,3.0,
92,1950,5,fangio,10046000.0,Finished,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,9.0,0.3333333333333333
93,1950,5,fagioli,10060000.0,Finished,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,12.0,0.4444444444444444
94,1950,5,rosier,10185000.0,Finished,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,6.0,0.2222222222222222
95,1950,5,farina,10291000.0,Finished,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,18.0,0.6666666666666666
96,1950,5,ascari,,+1 Lap,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,6.0,0.3333333333333333
97,1950,5,villoresi,,+2 Laps,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,0.0,0.0
98,1950,5,levegh,,+2 Laps,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,0.0,
99,1950,5,claes,,+3 Laps,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,0.0,0.0
100,1950,5,crossley,,+5 Laps,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,0.0,
101,1950,5,branca,,+6 Laps,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,0.0,0.0
102,1950,5,chaboud,,Oil pipe,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,0.0,
103,1950,5,sommer,,Oil pressure,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,3.0,0.16666666666666666
104,1950,5,etancelin,,Overheating,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,0.0,0.0
105,1950,5,cabantous,,Oil pipe,http://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,3.0,0.16666666666666666
106,1950,6,fangio,10672800.0,Finished,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,17.0,0.4857142857142857
107,1950,6,fagioli,10698500.0,Finished,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,18.0,0.5142857142857142
108,1950,6,whitehead,,+3 Laps,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,0.0,
109,1950,6,manzon,,+3 Laps,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,0.0,
110,1950,6,chaboud,,+5 Laps,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,0.0,0.0
111,1950,6,etancelin,,+5 Laps,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,0.0,0.0
112,1950,6,rosier,,+8 Laps,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,10.0,0.2857142857142857
113,1950,6,pozzi,,+8 Laps,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,0.0,
114,1950,6,farina,,Fuel pump,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,22.0,0.6285714285714286
115,1950,6,cabantous,,+12 Laps,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,3.0,0.11538461538461539
116,1950,6,levegh,,Engine,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,0.0,0.0
117,1950,6,bonetto,,Engine,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,2.0,
118,1950,6,claes,,Overheating,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,0.0,0.0
119,1950,6,rosier,,Overheating,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,10.0,0.2857142857142857
120,1950,6,reg_parnell,,Engine,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,4.0,
121,1950,6,rol,,Engine,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,0.0,
122,1950,6,chiron,,Engine,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,4.0,
123,1950,6,hampshire,,Engine,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,0.0,
124,1950,6,sommer,,Overheating,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,3.0,0.11538461538461539
125,1950,6,gonzalez,,Engine,http://en.wikipedia.org/wiki/1950_French_Grand_Prix,0.0,
126,1950,7,farina,10277400.0,Finished,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,22.0,0.5
127,1950,7,serafini,10356000.0,Finished,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,
128,1950,7,ascari,,Finished,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,8.0,
129,1950,7,fagioli,10373000.0,Finished,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,24.0,0.5454545454545454
130,1950,7,rosier,,+5 Laps,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,10.0,0.22727272727272727
131,1950,7,rosier,,+5 Laps,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,10.0,0.18867924528301888
132,1950,7,etancelin,,+5 Laps,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,1.0,0.022727272727272728
133,1950,7,graffenried,,+8 Laps,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,
134,1950,7,whitehead,,+8 Laps,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,4.0,0.2222222222222222
135,1950,7,murray,,Gearbox,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,
136,1950,7,harrison,,Radiator,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,
137,1950,7,sommer,,Gearbox,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,3.0,0.08571428571428572
138,1950,7,guy_mairesse,,Oil pipe,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,
139,1950,7,rol,,Retired,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,0.0
140,1950,7,taruffi,,Engine,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,
141,1950,7,fangio,,Engine,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,26.0,0.5909090909090909
142,1950,7,levegh,,Gearbox,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,0.0
143,1950,7,fangio,,Gearbox,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,26.0,0.5909090909090909
144,1950,7,claes,,Overheating,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,0.0
145,1950,7,ascari,,Engine,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,11.0,
146,1950,7,biondetti,,Engine,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,
147,1950,7,louveau,,Brakes,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,
148,1950,7,comotti,,Retired,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,
149,1950,7,trintignant,,Water pipe,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,
150,1950,7,chiron,,Oil pressure,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,4.0,0.1111111111111111
151,1950,7,sanesi,,Engine,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,
152,1950,7,manzon,,Transmission,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,3.0,0.16666666666666666
153,1950,7,bira,,Engine,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,5.0,
154,1950,7,pietsch,,Engine,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,0.0,
155,1950,7,bonetto,,Withdrew,http://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,2.0,0.1111111111111111
156,1951,1,fangio,7673640.0,Finished,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
157,1951,1,taruffi,7728880.0,Finished,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
158,1951,1,farina,7752950.0,Finished,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
159,1951,1,sanesi,,+1 Lap,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
160,1951,1,graffenried,,+2 Laps,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
161,1951,1,ascari,,+2 Laps,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
162,1951,1,chiron,,+2 Laps,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
163,1951,1,moss,,+2 Laps,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
164,1951,1,rosier,,+3 Laps,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
165,1951,1,etancelin,,+3 Laps,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
166,1951,1,fischer,,+3 Laps,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
167,1951,1,schell,,+4 Laps,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
168,1951,1,claes,,+7 Laps,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
169,1951,1,guy_mairesse,,+11 Laps,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
170,1951,1,whitehead,,Accident,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
171,1951,1,louveau,,Accident,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
172,1951,1,abecassis,,Magneto,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
173,1951,1,cabantous,,Ignition,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
174,1951,1,villoresi,,Accident,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
175,1951,1,gonzalez,,Oil pump,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
176,1951,1,hirt,,Fuel system,http://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,0.0,0.0
177,1951,2,wallard,14258050.0,Finished,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
178,1951,2,nazaruk,14365290.0,Finished,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
179,1951,2,ayulo,14429440.0,Finished,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
180,1951,2,mcgrath,14429440.0,Finished,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
181,1951,2,linden,14538170.0,Finished,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
182,1951,2,ball,14550280.0,Finished,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
183,1951,2,banks,14598070.0,Finished,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
184,1951,2,forberg,,+7 Laps,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
185,1951,2,darter,,+20 Laps,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
186,1951,2,bettenhausen,,Spun off,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
187,1951,2,nalon,,Retired,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
188,1951,2,force,,Engine,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
189,1951,2,hanks,,Engine,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
190,1951,2,schindler,,Engine,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
191,1951,2,rose,,Accident,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
192,1951,2,faulkner,,Engine,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
193,1951,2,davies,,Axle,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
194,1951,2,agabashian,,Clutch,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
195,1951,2,scarborough,,Heat shield fire,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
196,1951,2,mackey,,Clutch,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
197,1951,2,stevenson,,Heat shield fire,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
198,1951,2,parsons,,Magneto,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
199,1951,2,green,,Engine,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
200,1951,2,ruttman,,Engine,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
201,1951,2,dinsmore,,Overheating,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
202,1951,2,miller,,Ignition,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
203,1951,2,walt_brown,,Magneto,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
204,1951,2,ward,,Oil pipe,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
205,1951,2,griffith,,Axle,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
206,1951,2,vukovich,,Oil leak,http://en.wikipedia.org/wiki/1951_Indianapolis_500,0.0,
207,1951,3,farina,9946200.0,Finished,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,4.0,
208,1951,3,ascari,10117200.0,Finished,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,0.0,
209,1951,3,villoresi,10208100.0,Finished,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,0.0,
210,1951,3,rosier,,+2 Laps,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,0.0,
211,1951,3,cabantous,,+2 Laps,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,0.0,
212,1951,3,andre_pilette,,+3 Laps,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,0.0,
213,1951,3,claes,,+3 Laps,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,0.0,
214,1951,3,levegh,,+4 Laps,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,0.0,
215,1951,3,fangio,,+4 Laps,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,9.0,
216,1951,3,chiron,,Engine,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,0.0,
217,1951,3,sanesi,,Radiator,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,3.0,
218,1951,3,taruffi,,Transmission,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,6.0,
219,1951,3,etancelin,,Transmission,http://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,0.0,
220,1951,4,fangio,12131000.0,Finished,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,10.0,0.5882352941176471
221,1951,4,fagioli,12131000.0,Finished,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,
222,1951,4,ascari,12189200.0,Finished,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,6.0,0.35294117647058826
223,1951,4,gonzalez,12189200.0,Finished,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,
224,1951,4,villoresi,,+3 Laps,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,4.0,0.23529411764705882
225,1951,4,reg_parnell,,+4 Laps,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,
226,1951,4,farina,,+4 Laps,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,12.0,0.7058823529411765
227,1951,4,chiron,,+6 Laps,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,0.0
228,1951,4,cabantous,,+6 Laps,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,2.0,0.11764705882352941
229,1951,4,chaboud,,+8 Laps,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,
230,1951,4,guy_mairesse,,+11 Laps,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,
231,1951,4,sanesi,,+19 Laps,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,3.0,0.17647058823529413
232,1951,4,fangio,,+22 Laps,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,15.0,0.5882352941176471
233,1951,4,fagioli,,+22 Laps,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,4.0,
234,1951,4,claes,,Accident,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,0.0
235,1951,4,rosier,,Transmission,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,3.0,0.17647058823529413
236,1951,4,etancelin,,Engine,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,0.0
237,1951,4,gordini,,Engine,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,
238,1951,4,schell,,Overheating,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,
239,1951,4,trintignant,,Engine,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,
240,1951,4,ascari,,Gearbox,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,9.0,0.35294117647058826
241,1951,4,simon,,Engine,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,
242,1951,4,manzon,,Engine,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,
243,1951,4,marimon,,Engine,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,
244,1951,4,graffenried,,Transmission,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,2.0,
245,1951,4,whitehead,,Engine,http://en.wikipedia.org/wiki/1951_French_Grand_Prix,0.0,
246,1951,5,gonzalez,9738200.0,Finished,http://en.wikipedia.org/wiki/1951_British_Grand_Prix,3.0,0.21428571428571427
247,1951,5,fangio,9789200.0,Finished,http://en.wikipedia.org/wiki/1951_British_Grand_Prix,15.0,0.6818181818181818
248,1951,5,fangio,9789200.0,Finished,http://en.wikipedia.org/wiki/1951_British_Grand_Prix,15.0,0.5555555555555556
