,Driver,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,DNF
0,Max Verstappen,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762
1,Lewis Hamilton,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762
2,George Russell,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762
3,Charles Leclerc,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762
4,Sergio Perez,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762
5,Carlos Sainz,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762
6,Lando Norris,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762
7,Fernando Alonso,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762
8,Esteban Ocon,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762
9,Pierre Gasly,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762,0.04761904762
