Race,Driver,Bet placed,Driver race outcome,Implied probability,Estimated probability,Expected value,Bet outcome,Units won,Net units won
Singapore,Mick Schumacher,Odds to Finish Top Ten,13,0.26666666666666666,0.4761904762000001,0.7857142857500004,0,0,-1
Singapore,Zhou Guanyu,Odds to Win,\N,0.0011098779134295228,0.04761904762,41.90476190562,0,0,-1
Singapore,Zhou Guanyu,Odds to Finish Top Three,\N,0.00398406374501992,0.14285714286,34.857142857860005,0,0,-1
Singapore,Zhou Guanyu,Odds to Finish Top Six,\N,0.038461538461538464,0.28571428572,6.42857142872,0,0,-1
Singapore,Zhou Guanyu,Odds to Finish Top Ten,\N,0.3076923076923077,0.4761904762000001,0.5476190476500002,0,0,-1
UnitedStates,Lando Norris,Odds to Win,6,0.004975124378109453,0.04761904762,8.57142857162,0,0,-1
UnitedStates,Lando Norris,Odds to Finish Top Three,6,0.06666666666666667,0.14285714286,1.1428571429,0,0,-1
UnitedStates,Fernando Alonso,Odds to Win,7,0.004975124378109453,0.04761904762,8.57142857162,0,0,-1
UnitedStates,Fernando Alonso,Odds to Finish Top Three,7,0.047619047619047616,0.14285714286,2.0000000000600004,0,0,-1
UnitedStates,Esteban Ocon,Odds to Win,11,0.00398406374501992,0.04761904762,10.95238095262,0,0,-1
UnitedStates,Esteban Ocon,Odds to Finish Top Three,11,0.047619047619047616,0.14285714286,2.0000000000600004,0,0,-1
UnitedStates,Esteban Ocon,Odds to Finish Top Six,11,0.2777777777777778,0.28571428572,0.028571428592000014,0,0,-1
UnitedStates,Kevin Magnussen,Odds to Win,9,0.001996007984031936,0.04761904762,22.85714285762,0,0,-1
UnitedStates,Kevin Magnussen,Odds to Finish Top Three,9,0.009900990099009901,0.14285714286,13.42857142886,0,0,-1
UnitedStates,Kevin Magnussen,Odds to Finish Top Six,9,0.047619047619047616,0.28571428572,5.000000000120001,0,0,-1
UnitedStates,Kevin Magnussen,Odds to Finish Top Ten,9,0.2631578947368421,0.4761904762000001,0.8095238095600006,0,0,-1
UnitedStates,Pierre Gasly,Odds to Win,14,0.001996007984031936,0.04761904762,22.85714285762,0,0,-1
UnitedStates,Pierre Gasly,Odds to Finish Top Three,14,0.012345679012345678,0.14285714286,10.571428571660002,0,0,-1
UnitedStates,Pierre Gasly,Odds to Finish Top Six,14,0.07692307692307693,0.28571428572,2.71428571436,0,0,-1
UnitedStates,Pierre Gasly,Odds to Finish Top Ten,14,0.4166666666666667,0.4761904762000001,0.1428571428800003,0,0,-1
UnitedStates,Sebastian Vettel,Odds to Win,8,0.001996007984031936,0.04761904762,22.85714285762,0,0,-1
UnitedStates,Sebastian Vettel,Odds to Finish Top Three,8,0.024390243902439025,0.14285714286,4.85714285726,0,0,-1
UnitedStates,Sebastian Vettel,Odds to Finish Top Six,8,0.10526315789473684,0.28571428572,1.7142857143400003,0,0,-1
UnitedStates,Valtteri Bottas,Odds to Win,\N,0.001996007984031936,0.04761904762,22.85714285762,0,0,-1
UnitedStates,Valtteri Bottas,Odds to Finish Top Three,\N,0.009900990099009901,0.14285714286,13.42857142886,0,0,-1
UnitedStates,Valtteri Bottas,Odds to Finish Top Six,\N,0.07692307692307693,0.28571428572,2.71428571436,0,0,-1
UnitedStates,Valtteri Bottas,Odds to Finish Top Ten,\N,0.4,0.4761904762000001,0.1904761905000001,0,0,-1
UnitedStates,Daniel Ricciardo,Odds to Win,16,0.001996007984031936,0.04761904762,22.85714285762,0,0,-1
UnitedStates,Daniel Ricciardo,Odds to Finish Top Three,16,0.0196078431372549,0.14285714286,6.28571428586,0,0,-1
